date,value,num_positions,num_signals,num_agents,weights
2023-03-30,1009578.1788389229,13,60,11,"{'VOO': 0.07692307692307694, 'NFLX': 0.07692307692307694, 'TSLA': 0.07692307692307694, 'MSFT': 0.07692307692307694, 'ADBE': 0.07692307692307694, 'NVDA': 0.07692307692307694, 'PYPL': 0.07692307692307694, 'CRM': 0.07692307692307694, 'AMZN': 0.07692307692307694, 'META': 0.07692307692307694, 'QQQ': 0.07692307692307694, 'AAPL': 0.07692307692307694, 'SPY': 0.07692307692307694}"
2023-03-31,1029098.8528575226,13,60,11,"{'TSLA': 0.07692307692307694, 'PYPL': 0.07692307692307694, 'CRM': 0.07692307692307694, 'NVDA': 0.07692307692307694, 'AAPL': 0.07692307692307694, 'MSFT': 0.07692307692307694, 'NFLX': 0.07692307692307694, 'AMZN': 0.07692307692307694, 'META': 0.07692307692307694, 'ADBE': 0.07692307692307694, 'QQQ': 0.07692307692307694, 'VOO': 0.07692307692307694, 'SPY': 0.07692307692307694}"
2023-04-03,1022420.4226507617,13,60,11,"{'VOO': 0.07692307692307694, 'AMZN': 0.07692307692307694, 'META': 0.07692307692307694, 'NVDA': 0.07692307692307694, 'QQQ': 0.07692307692307694, 'ADBE': 0.07692307692307694, 'TSLA': 0.07692307692307694, 'CRM': 0.07692307692307694, 'MSFT': 0.07692307692307694, 'VTI': 0.07692307692307694, 'SPY': 0.07692307692307694, 'PYPL': 0.07692307692307694, 'AAPL': 0.07692307692307694}"
2023-04-04,1022645.7734751807,13,60,11,"{'VTI': 0.07692307692307694, 'NFLX': 0.07692307692307694, 'TSLA': 0.07692307692307694, 'GOOGL': 0.07692307692307694, 'SPY': 0.07692307692307694, 'MSFT': 0.07692307692307694, 'META': 0.07692307692307694, 'ADBE': 0.07692307692307694, 'AAPL': 0.07692307692307694, 'QQQ': 0.07692307692307694, 'AMZN': 0.07692307692307694, 'CRM': 0.07692307692307694, 'VOO': 0.07692307692307694}"
2023-04-05,1011003.9255866734,12,60,11,"{'GOOGL': 0.08333333333333334, 'NFLX': 0.08333333333333334, 'SPY': 0.08333333333333334, 'VTI': 0.08333333333333334, 'PYPL': 0.08333333333333334, 'VOO': 0.08333333333333334, 'META': 0.08333333333333334, 'QQQ': 0.08333333333333334, 'ADBE': 0.08333333333333334, 'CRM': 0.08333333333333334, 'AMZN': 0.08333333333333334, 'NVDA': 0.08333333333333334}"
2023-04-06,1020583.1102935442,13,60,11,"{'GOOGL': 0.07692307692307694, 'VTI': 0.07692307692307694, 'MSFT': 0.07692307692307694, 'TSLA': 0.07692307692307694, 'PYPL': 0.07692307692307694, 'QQQ': 0.07692307692307694, 'VOO': 0.07692307692307694, 'NVDA': 0.07692307692307694, 'AMZN': 0.07692307692307694, 'ADBE': 0.07692307692307694, 'META': 0.07692307692307694, 'NFLX': 0.07692307692307694, 'AAPL': 0.07692307692307694}"
2023-04-10,1018157.9416335381,13,60,11,"{'GOOGL': 0.07692307692307694, 'PYPL': 0.07692307692307694, 'SPY': 0.07692307692307694, 'TSLA': 0.07692307692307694, 'AAPL': 0.07692307692307694, 'NFLX': 0.07692307692307694, 'AMZN': 0.07692307692307694, 'NVDA': 0.07692307692307694, 'META': 0.07692307692307694, 'VOO': 0.07692307692307694, 'QQQ': 0.07692307692307694, 'VTI': 0.07692307692307694, 'CRM': 0.07692307692307694}"
2023-04-11,1008404.9566357804,13,60,11,"{'GOOGL': 0.07692307692307694, 'MSFT': 0.07692307692307694, 'PYPL': 0.07692307692307694, 'SPY': 0.07692307692307694, 'CRM': 0.07692307692307694, 'VTI': 0.07692307692307694, 'NFLX': 0.07692307692307694, 'AMZN': 0.07692307692307694, 'ADBE': 0.07692307692307694, 'QQQ': 0.07692307692307694, 'VOO': 0.07692307692307694, 'AAPL': 0.07692307692307694, 'NVDA': 0.07692307692307694}"
2023-04-12,998630.9460700398,13,60,11,"{'GOOGL': 0.07692307692307694, 'VOO': 0.07692307692307694, 'AAPL': 0.07692307692307694, 'NVDA': 0.07692307692307694, 'ADBE': 0.07692307692307694, 'CRM': 0.07692307692307694, 'SPY': 0.07692307692307694, 'TSLA': 0.07692307692307694, 'AMZN': 0.07692307692307694, 'QQQ': 0.07692307692307694, 'VTI': 0.07692307692307694, 'MSFT': 0.07692307692307694, 'NFLX': 0.07692307692307694}"
2023-04-13,1022139.4760257467,14,60,11,"{'META': 0.07142857142857144, 'GOOGL': 0.07142857142857144, 'NFLX': 0.07142857142857144, 'MSFT': 0.07142857142857144, 'CRM': 0.07142857142857144, 'NVDA': 0.07142857142857144, 'VTI': 0.07142857142857144, 'VOO': 0.07142857142857144, 'SPY': 0.07142857142857144, 'QQQ': 0.07142857142857144, 'PYPL': 0.07142857142857144, 'ADBE': 0.07142857142857144, 'AMZN': 0.07142857142857144, 'TSLA': 0.07142857142857144}"
